SIZE,L,M,S
Time,0.919914,0.620502,0.542537
MFLOPS,13397.106730,4419.168222,607.062597
Power,53042.83,44724.25,38030.70
Host_to_Device(us),52.75,58.11,56.91
Device_to_Host(us),0.01,0.04,0.28
jacobi_138_gpu,41.82,37.22,33.34
jacobi_162_gpu,5.39,4.53,8.79
jacobi_158_gpu_red,0.02,0.10,0.69
jacobi_162_gpu,,,
flop_count_dp,0,0,0
dram_read_transactions,5132396,1081082,135204
dram_write_transactions,5015303,1039953,138539
jacobi_138_gpu,,,
flop_count_dp,616268611,137137394,16483698
dram_read_transactions,85666839,15231612,1626321
dram_write_transactions,7487524,1112006,182039
jacobi_158_gpu_red,,,
flop_count_dp,467,256,128
dram_read_transactions,182,127,92
dram_write_transactions,3077,134,115
